invoice_id,bank_name,transaction_id,transaction_date,amount,recipient_name,sender_name,email_id,sender_email,recipient_email,subject,email_body,filename,expected_ocr_result
43925,Bank 538,EC4F9FE854344D25,4/23/23,196.0,Tanya,Robin Levine,93185A89130149C0A842968E4AFDCAA2,RobinLevine@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 43925,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 43925 , Regards Robin Levine ",imgs/transaction_1.jpeg,"Bank 538
Sent by: Robin Levine
You paid $196 to Tanya
Transaction Reference Number: EC4F9FE854344D25
Transaction Date: 4/23/23
Invoice ID: 43925
"
51782,Bank 533,3D2ADBBC17B641C4,6/5/24,159.0,Tanya,Steven Nixon,614972488B7B411BAEA4814CF066CDAA,StevenNixon@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 51782,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 51782 , Regards Steven Nixon ",imgs/transaction_2.jpeg,"Bank 533
Sent by: Steven Nixon
You paid $159 to Tanya
Transaction Reference Number: 3D2ADBBC17B641C4
Transaction Date: 6/5/24
Invoice ID: 51782
"
42968,Bank 972,C516A7A9C9534B6A,5/3/23,21.0,Tanya,Madison Ford,C484ABEB38F44D29960B1CEF58510627,MadisonFord@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 42968,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 42968 , Regards Madison Ford ",imgs/transaction_3.jpeg,"Bank 972
Sent by: Madison Ford
You paid $21 to Tanya
Transaction Reference Number: C516A7A9C9534B6A
Transaction Date: 5/3/23
Invoice ID: 42968
"
92948,Bank 337,43532033DC0E44D6,5/2/24,94.0,Tanya,Kathryn Jones,706B3403E8024178948B3BFBF9E64A25,KathrynJones@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 92948,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 92948 , Regards Kathryn Jones ",imgs/transaction_4.jpeg,"Bank 337
Sent by: Kathryn Jones
You paid $94 to Tanya
Transaction Reference Number: 43532033DC0E44D6
Transaction Date: 5/2/24
Invoice ID: 92948
"
20304,Bank 924,7DAA6E4202B24892,2/28/23,48.0,Tanya,Christine Owens,86838440CA6C472AACFA3FCE1382609C,ChristineOwens@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 20304,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 20304 , Regards Christine Owens ",imgs/transaction_5.jpeg,"Bank 924
Sent by: Christine Owens
You paid $48 to Tanya
Transaction Reference Number: 7DAA6E4202B24892
Transaction Date: 2/28/23
Invoice ID: 20304
"
59394,Bank 258,ED7F745AA32E4935,8/3/24,187.0,Tanya,Kyle Thomas,F7E193E1EDB44E0E8239A765F1E43EBC,KyleThomas@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 59394,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 59394 , Regards Kyle Thomas ",imgs/transaction_6.jpeg,"Bank 258
Sent by: Kyle Thomas
You paid $187 to Tanya
Transaction Reference Number: ED7F745AA32E4935
Transaction Date: 8/3/24
Invoice ID: 59394
"
97015,Bank 757,66F2ECF6BAAD4BEA,11/12/24,105.0,Tanya,Emily Fleming,5BD6CBE01F8B4F9FAAD4CA38F7A22837,EmilyFleming@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 97015,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 97015 , Regards Emily Fleming ",imgs/transaction_8.jpeg,"Bank 757
Sent by: Emily Fleming
You paid $105 to Tanya
Transaction Reference Number: 66F2ECF6BAAD4BEA
Transaction Date: 11/12/24
Invoice ID: 97015
"
48393,Bank 625,0118CE2838CC45E7,12/8/23,62.0,Tanya,Adam Tyler,7AA6A7BC950245F8BC6C65553D5A466E,AdamTyler@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 48393,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 48393 , Regards Adam Tyler ",imgs/transaction_9.jpeg,"Bank 625
Sent by: Adam Tyler
You paid $62 to Tanya
Transaction Reference Number: 0118CE2838CC45E7
Transaction Date: 12/8/23
Invoice ID: 48393
"
69415,Bank 678,48F0031101BB486D,10/17/24,147.0,Tanya,Sarah Boone,54EEB17C39CF40B9846B1B5AA84430AA,SarahBoone@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 69415,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 69415 , Regards Sarah Boone ",imgs/transaction_10.jpeg,"Bank 678
Sent by: Sarah Boone
You paid $147 to Tanya
Transaction Reference Number: 48F0031101BB486D
Transaction Date: 10/17/24
Invoice ID: 69415
"
97115,Bank 610,0517910A3FE845C3,5/14/23,28.0,Tanya,Christopher Ponce,7FC2B8C1EB0B413989493C95B77ED3E0,ChristopherPonce@example.com,tanya.official.456@gmail.com,Payment Confirmation for Invoice ID: 97115,"Hi Tanya ! Please find attached payment screenshot for Invoice ID: 97115 , Regards Christopher Ponce ",imgs/transaction_11.jpeg,"Bank 610
Sent by: Christopher Ponce
You paid $28 to Tanya
Transaction Reference Number: 0517910A3FE845C3
Transaction Date: 5/14/23
Invoice ID: 97115
"
